Season,Team,LeaguePosition,Matches,Wins,Losses,NoResult,Points,NRR,C,RU,CRI
2011.0,RCB,1.0,14.0,9.0,4.0,1.0,19.0,0.326,0.0,1.0,124.52
2011.0,CSK,2.0,14.0,9.0,5.0,0.0,18.0,0.443,1.0,0.0,104.86
2011.0,MI,3.0,14.0,9.0,5.0,0.0,18.0,0.04,0.0,0.0,76.8
2011.0,KKR,4.0,14.0,8.0,6.0,0.0,16.0,0.433,0.0,0.0,60.66
2012.0,Delhi Daredevils,1.0,16.0,11.0,5.0,0.0,22.0,0.617,0.0,0.0,136.34
2012.0,KKR,2.0,16.0,10.0,5.0,1.0,21.0,0.561,1.0,0.0,113.22
2012.0,MI,3.0,16.0,10.0,6.0,0.0,20.0,-0.1,0.0,0.0,78.0
2012.0,CSK,4.0,16.0,8.0,7.0,1.0,17.0,0.1,0.0,1.0,56.0
2013.0,CSK,1.0,16.0,11.0,5.0,0.0,22.0,0.53,0.0,1.0,134.6
2013.0,MI,2.0,16.0,11.0,5.0,0.0,22.0,0.441,1.0,0.0,112.82
2013.0,RR,3.0,16.0,10.0,6.0,0.0,20.0,0.322,0.0,0.0,86.44
2013.0,SRH,4.0,16.0,10.0,6.0,0.0,20.0,0.003,0.0,0.0,60.06
2014.0,KXIP,1.0,14.0,11.0,3.0,0.0,22.0,0.968,0.0,1.0,143.36
2014.0,KKR,2.0,14.0,9.0,5.0,0.0,18.0,0.418,1.0,0.0,104.36
2014.0,CSK,3.0,14.0,9.0,5.0,0.0,18.0,0.385,0.0,0.0,83.7
2014.0,MI,4.0,14.0,7.0,7.0,0.0,14.0,0.095,0.0,0.0,49.9
2015.0,CSK,1.0,14.0,9.0,5.0,0.0,18.0,0.709,0.0,1.0,130.18
2015.0,MI,2.0,14.0,8.0,6.0,0.0,16.0,-0.043,1.0,0.0,91.14
2015.0,RCB,3.0,14.0,7.0,5.0,2.0,16.0,1.037,0.0,0.0,92.74
2015.0,RR,4.0,14.0,7.0,5.0,2.0,16.0,0.062,0.0,0.0,53.24
2016.0,GL,1.0,14.0,9.0,5.0,0.0,18.0,-0.374,0.0,0.0,108.52
2016.0,RCB,2.0,14.0,8.0,6.0,0.0,16.0,0.932,0.0,1.0,110.64
2016.0,SRH,3.0,14.0,8.0,6.0,0.0,16.0,0.245,1.0,0.0,76.9
2016.0,KKR,4.0,14.0,8.0,6.0,0.0,16.0,0.106,0.0,0.0,54.12
2017.0,MI,1.0,14.0,10.0,4.0,0.0,20.0,0.784,1.0,0.0,135.68
2017.0,RPS,2.0,14.0,9.0,5.0,0.0,18.0,0.176,0.0,1.0,99.52
2017.0,SRH,3.0,14.0,8.0,5.0,1.0,17.0,0.599,0.0,0.0,85.98
2017.0,KKR,4.0,14.0,8.0,6.0,0.0,16.0,0.641,0.0,0.0,64.82
2018.0,SRH,1.0,14.0,9.0,5.0,0.0,18.0,0.284,0.0,1.0,121.68
2018.0,CSK,2.0,14.0,9.0,5.0,0.0,18.0,0.253,1.0,0.0,101.06
2018.0,KKR,3.0,14.0,8.0,6.0,0.0,16.0,-0.07,0.0,0.0,70.6
2018.0,RR,4.0,14.0,7.0,7.0,0.0,14.0,-0.25,0.0,0.0,43.0
2019.0,MI,1.0,14.0,9.0,5.0,0.0,18.0,0.421,1.0,0.0,124.42
2019.0,CSK,2.0,14.0,9.0,5.0,0.0,18.0,0.131,0.0,1.0,98.62
2019.0,DC,3.0,14.0,9.0,5.0,0.0,18.0,0.044,0.0,0.0,76.88
2019.0,SRH,4.0,14.0,6.0,8.0,0.0,12.0,0.577,0.0,0.0,55.54
2020.0,MI,1.0,14.0,9.0,5.0,0.0,18.0,1.107,1.0,0.0,138.14
2020.0,DC,2.0,14.0,8.0,6.0,0.0,16.0,-0.109,0.0,1.0,89.82
2020.0,SRH,3.0,14.0,7.0,7.0,0.0,14.0,0.608,0.0,0.0,80.16
2020.0,RCB,4.0,14.0,7.0,7.0,0.0,14.0,-0.172,0.0,0.0,44.56
2021.0,DC,1.0,14.0,10.0,4.0,0.0,20.0,0.481,0.0,0.0,129.62
2021.0,CSK,2.0,14.0,9.0,5.0,0.0,18.0,0.455,1.0,0.0,105.1
2021.0,RCB,3.0,14.0,9.0,5.0,0.0,18.0,-0.14,0.0,0.0,73.2
2021.0,KKR,4.0,14.0,7.0,7.0,0.0,14.0,0.587,0.0,1.0,59.739999999999995
2022.0,GT,1.0,14.0,10.0,4.0,0.0,20.0,0.316,1.0,0.0,126.32
2022.0,RR,2.0,14.0,9.0,5.0,0.0,18.0,0.298,0.0,1.0,101.96
2022.0,LSG,3.0,14.0,9.0,5.0,0.0,18.0,0.251,0.0,0.0,81.02
2022.0,RCB,4.0,14.0,8.0,6.0,0.0,16.0,-0.253,0.0,0.0,46.94
2023.0,GT,1.0,14.0,10.0,4.0,0.0,20.0,0.809,0.0,1.0,136.18
2023.0,CSK,2.0,14.0,8.0,5.0,1.0,17.0,0.652,1.0,0.0,107.04
2023.0,LSG,3.0,14.0,8.0,5.0,1.0,17.0,0.284,0.0,0.0,79.68
2023.0,MI,4.0,14.0,8.0,6.0,0.0,16.0,-0.044,0.0,0.0,51.12
2024.0,KKR,1.0,14.0,9.0,3.0,2.0,20.0,1.428,1.0,0.0,148.56
2024.0,SRH,2.0,14.0,8.0,5.0,1.0,17.0,0.414,0.0,1.0,102.28
2024.0,RR,3.0,14.0,8.0,5.0,1.0,17.0,0.273,0.0,0.0,79.46000000000001
2024.0,RCB,4.0,14.0,7.0,7.0,0.0,14.0,0.459,0.0,0.0,57.18
2025.0,PBKS,1.0,14.0,9.0,4.0,1.0,19.0,0.372,0.0,1.0,125.44
2025.0,RCB,2.0,14.0,9.0,4.0,1.0,19.0,0.301,1.0,0.0,104.02
2025.0,GT,3.0,14.0,9.0,5.0,0.0,18.0,0.254,0.0,0.0,81.08
2025.0,MI,4.0,14.0,8.0,6.0,0.0,16.0,1.142,0.0,0.0,74.84
